1053;294;MANAGER;15;124;82;MANAGER;;Ebonit;1;BUAH;1;0;0;0;6499089ce38416.jpeg;
1054;55;MANAGER;15;124;82;MANAGER;CANON;Ebonit;1;UNIT;1;0;0;0;6499089ced80f7.jpeg;
1055;258;MANAGER;15;124;82;MANAGER;-;Ebonit;2;BUAH;2;0;0;0;649908da4d5be10.jpeg;
1056;0;0;15;26;82;0;0;0;0;0;0;0;0;0;0;0
1057;0;0;15;26;82;KAS;0;0;0;0;0;0;0;0;0;0
1058;0;KAS;15;26;82;KAS;0;0;0;0;0;0;0;0;0;0
1059;481;KAS;15;26;82;KAS;LENOVO;Ebonit;2;UNIT;2;0;0;0;649909fb031041.jpeg;
1060;275;KAS;15;26;82;KAS;LG;Ebonit;2;UNIT;2;0;0;0;649909fb071362.jpeg;
1061;281;KAS;15;26;82;KAS;BROTHER;Besi;5;BUAH;5;0;0;0;64990aa908f455.jpeg;
1062;142;KAS;15;26;82;KAS;-;Besi;1;UNIT;1;0;0;0;64990aa90c0bc6.jpeg;
1063;1133;MANAGER;15;124;82;MANAGER;SHARP;Ebonit;1;UNIT;1;0;0;0;64990cce2e6e41.jpeg;
1064;1132;KAS;15;26;82;KAS;GLORY;Ebonit;1;UNIT;1;0;0;0;64990da0520757.jpeg;
1065;291;KAS;15;26;82;KAS;SAGA;Ebonit;5;BUAH;5;0;0;0;64990da0561b28.jpeg;
1066;258;KAS;15;26;82;KAS;CHITOSE;Ebonit;7;BUAH;7;0;0;0;64990e685e51b9.jpeg;
1067;217;KAS;15;26;82;KAS;CITIZEN CT-666N;Ebonit;1;BUAH;1;0;0;0;64990e68617e110.jpeg;
1068;55;KAS;15;26;82;KAS;EPSON;Ebonit;3;UNIT;3;0;0;0;64990f38098e312.jpeg;
1069;0;0;15;24;82;0;0;0;0;0;0;0;0;0;0;0
1070;0;0;15;24;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1071;0;0;40;161;82;0;0;0;0;0;0;0;0;0;0;0
1072;0;0;40;161;82;MANAGER;0;0;0;0;0;0;0;0;0;0
1073;0;MANAGER;40;161;82;MANAGER;0;0;0;0;0;0;0;0;0;0
1074;481;MANAGER;40;161;82;MANAGER;LENOVO;Ebonit;1;UNIT;1;0;0;0;64992c41bb05f1.jpeg;
1075;254;MANAGER;40;161;82;MANAGER;-;Ebonit;1;UNIT;1;0;0;0;64992c41bf3c12.jpeg;
1076;294;MANAGER;40;161;82;MANAGER;CUSTOME;Ebonit;1;BUAH;1;0;0;0;64992d48c945e3.jpeg;
1077;297;MANAGER;40;161;82;MANAGER;FORTUNER;Ebonit;2;BUAH;2;0;0;0;64992d48cddc14.jpeg;
1078;125;MANAGER;40;161;82;MANAGER;PANASONIC;Ebonit;1;UNIT;1;0;0;0;64992da927a615.jpeg;
1079;55;MANAGER;40;161;82;MANAGER;CANON;Ebonit;1;UNIT;1;0;0;0;64992da92c7976.jpeg;
1080;0;PERENCANAAN KEUANGAN;15;24;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1081;481;PERENCANAAN KEUANGAN;15;24;82;GEDUNG KANTOR;LENOVO;Ebonit;1;UNIT;1;0;0;0;64992ea5794e71.jpeg;
1082;275;PERENCANAAN KEUANGAN;15;24;82;GEDUNG KANTOR;LG;Ebonit;2;UNIT;2;0;0;0;64992ea57dc6d2.jpeg;
1083;55;PERENCANAAN KEUANGAN;15;24;82;GEDUNG KANTOR;EPSON;Ebonit;3;UNIT;3;0;0;0;64992f21eaec53.jpeg;
1084;0;0;39;0;82;0;0;0;0;0;0;0;0;0;0;0
1085;0;0;39;142;82;0;0;0;0;0;0;0;0;0;0;0
1086;0;0;39;142;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1087;0;ARSIP;39;142;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1088;0;0;39;165;82;0;0;0;0;0;0;0;0;0;0;0
1089;0;0;40;0;80;0;0;0;0;0;0;0;0;0;0;0
1090;0;0;40;149;80;0;0;0;0;0;0;0;0;0;0;0
1091;0;0;40;149;80;KANTOR GUDANG;0;0;0;0;0;0;0;0;0;0
1092;0;0;20;41;80;0;0;0;0;0;0;0;0;0;0;0
1093;0;ASISTEN MANAGER;40;149;80;KANTOR GUDANG;0;0;0;0;0;0;0;0;0;0
1094;276;ASISTEN MANAGER;40;149;80;KANTOR GUDANG;TOSHIBA;Ebonit;1;UNIT;1;0;0;0;64b886d43ef94Nomor 1.jpeg;
1095;127;ASISTEN MANAGER;40;149;80;KANTOR GUDANG;PANASONIC;Ebonit;1;UNIT;1;0;0;0;64b8876a82c0dNomor 2.jpeg;
1097;664;ASISTEN MANAGER;40;149;80;KANTOR GUDANG;-;Ebonit;16;UNIT;16;0;0;0;64b8888d8059dWhatsApp Image 2023-07-18 at 07.58.06.jpeg;CCTV AREA GUDANG CENDANA
1098;217;ASISTEN MANAGER;40;149;80;KANTOR GUDANG;CITIZEN;Ebonit;2;BUAH;2;0;0;0;64b88a31250e4Nomor 4.jpeg;
1099;0;0;27;0;82;0;0;0;0;0;0;0;0;0;0;0
1100;0;0;49;0;82;0;0;0;0;0;0;0;0;0;0;0
1101;0;0;49;0;82;0;0;0;0;0;0;0;0;0;0;0
1102;0;0;49;0;82;0;0;0;0;0;0;0;0;0;0;0
1103;0;0;49;0;82;0;0;0;0;0;0;0;0;0;0;0
1104;0;0;27;140;82;0;0;0;0;0;0;0;0;0;0;0
1105;0;0;49;188;82;0;0;0;0;0;0;0;0;0;0;0
1106;0;0;49;187;82;0;0;0;0;0;0;0;0;0;0;0
1107;0;0;49;189;82;0;0;0;0;0;0;0;0;0;0;0
1108;0;0;27;140;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1109;0;ASISTEN MANAGER;27;140;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1110;0;0;49;189;82;MANAGER;0;0;0;0;0;0;0;0;0;0
1111;0;MANAGER;27;140;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1112;0;0;49;0;80;0;0;0;0;0;0;0;0;0;0;0
1113;0;0;49;0;80;0;0;0;0;0;0;0;0;0;0;0
1114;0;0;49;187;80;0;0;0;0;0;0;0;0;0;0;0
1115;0;UTAMA;40;149;80;KANTOR GUDANG;0;0;0;0;0;0;0;0;0;0
1116;0;0;49;188;82;ASISTEN MANAGER;0;0;0;0;0;0;0;0;0;0
1117;0;0;49;187;80;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1118;0;Diklat;49;187;80;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1119;0;0;49;188;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1120;0;0;49;187;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1121;0;Diklat;49;187;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1124;0;Kepegawaian;49;188;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1128;0;Diklat;49;188;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1130;127;ASISTEN MANAGER;27;140;82;GEDUNG KANTOR;PANASONIC;Ebonit;2;BUAH;2;0;0;0;64b89693e4f781.jpeg;-
1131;280;Diklat;49;188;82;GEDUNG KANTOR;Brother ;Besi;1;UNIT;1;0;0;0;64b89693e8a6a1.jpeg;-
1132;280;Kepegawaian;49;188;82;GEDUNG KANTOR;BROTHER;Besi;3;UNIT;3;0;0;0;64b8969424ced1.jpeg;-
1136;0;MANAGER;49;188;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1137;173;Diklat;49;188;82;GEDUNG KANTOR;polytron;Ebonit;1;BUAH;1;0;0;0;64b8978476a8f2.jpeg;-
1138;290;Diklat;49;188;82;GEDUNG KANTOR;-;Ebonit;1;BUAH;1;0;0;0;64b898205b8783.jpeg;-
1139;275;ASISTEN MANAGER;27;140;82;GEDUNG KANTOR;LG;Ebonit;7;UNIT;7;0;0;0;64b898a86841d2.jpeg;-
1144;291;Diklat;49;188;82;GEDUNG KANTOR;-;Ebonit;7;SET;7;0;0;0;64b8993e853754.jpeg;-
1145;481;ASISTEN MANAGER;27;140;82;GEDUNG KANTOR;-;Ebonit;4;UNIT;4;0;0;0;64b8997393f553.jpeg;-
1146;55;ASISTEN MANAGER;27;140;82;GEDUNG KANTOR;-;Ebonit;8;UNIT;8;0;0;0;64b899b42b5154.jpeg;
1150;529;ASISTEN MANAGER;27;140;82;GEDUNG KANTOR;-;PVC;1;UNIT;1;0;0;0;64b89a7134d115.jpeg;-
